lat,lon,weight
-22.50000000,147.50000000,236036.839745
-22.50000000,152.50000000,300586.192396
-22.50000000,162.50000000,29201.415431
-22.50000000,167.50000000,265748.390981
-17.50000000,-177.50000000,14370.497136
-17.50000000,-172.50000000,20305.291849
-17.50000000,-167.50000000,1190.836321
-17.50000000,-157.50000000,2001.512309
-17.50000000,-152.50000000,36788.229841
-17.50000000,-147.50000000,217276.245114
-17.50000000,-142.50000000,3122.384710
-17.50000000,-137.50000000,821.789338
-17.50000000,-77.50000000,17870.657851
-17.50000000,-72.50000000,3032626.667957
-17.50000000,-67.50000000,7069813.279773
-17.50000000,-62.50000000,3958142.492268
-17.50000000,-57.50000000,1706581.680884
-17.50000000,-52.50000000,2092009.118398
-17.50000000,-47.50000000,12116683.769285
-17.50000000,-42.50000000,11557859.703258
-17.50000000,-37.50000000,1122971.840395
-17.50000000,-7.50000000,5215.999994
-17.50000000,12.50000000,1667633.718453
-17.50000000,17.50000000,2616967.943272
-17.50000000,22.50000000,1391961.065754
-17.50000000,27.50000000,9915886.697146
-17.50000000,32.50000000,17227660.146739
-17.50000000,37.50000000,16517864.605549
-17.50000000,42.50000000,837308.342967
-17.50000000,47.50000000,16704287.307299
-17.50000000,52.50000000,91102.369688
-17.50000000,57.50000000,4692.803292
-17.50000000,62.50000000,43301.680798
-17.50000000,122.50000000,22876.269867
-17.50000000,127.50000000,13414.930645
-17.50000000,132.50000000,7661.920595
-17.50000000,137.50000000,5170.510756
-17.50000000,142.50000000,6046.587905
-17.50000000,147.50000000,520118.943778
-17.50000000,162.50000000,941.637808
-17.50000000,167.50000000,313847.469367
-17.50000000,172.50000000,581.290789
-17.50000000,177.50000000,915851.463906
-12.50000000,-177.50000000,8096.768089
-12.50000000,-172.50000000,264260.276761
-12.50000000,-167.50000000,767.770250
-12.50000000,-147.50000000,5327.269082
-12.50000000,-142.50000000,258.074242
-12.50000000,-137.50000000,917.101489
-12.50000000,-77.50000000,14596755.690455
-12.50000000,-72.50000000,3636786.998984
-12.50000000,-67.50000000,898007.299399
-12.50000000,-62.50000000,1196878.015404
-12.50000000,-57.50000000,1198725.352200
-12.50000000,-52.50000000,501564.643702
-12.50000000,-47.50000000,1640194.938819
-12.50000000,-42.50000000,4190265.726100
-12.50000000,-37.50000000,10467870.204529
-12.50000000,12.50000000,7878175.432883
-12.50000000,17.50000000,7903797.241694
-12.50000000,22.50000000,2173518.106203
-12.50000000,27.50000000,12748663.444681
-12.50000000,32.50000000,18270510.067253
-12.50000000,37.50000000,11173629.728432
-12.50000000,42.50000000,3885568.106123
-12.50000000,47.50000000,2812675.347598
-12.50000000,52.50000000,637850.047679
-12.50000000,97.50000000,614.654314
-12.50000000,107.50000000,1243.169996
-12.50000000,117.50000000,464.977456
-12.50000000,122.50000000,1143377.117690
-12.50000000,127.50000000,3236.783526
-12.50000000,132.50000000,178276.693815
-12.50000000,137.50000000,12222.736931
-12.50000000,142.50000000,17505.946936
-12.50000000,147.50000000,101969.122045
-12.50000000,152.50000000,165374.255150
-12.50000000,157.50000000,1635.505433
-12.50000000,162.50000000,57332.569281
-12.50000000,167.50000000,37480.234933
-12.50000000,177.50000000,1047.933994
-7.50000000,-172.50000000,2559.999988
-7.50000000,-157.50000000,207.854765
-7.50000000,-142.50000000,5255.606015
-7.50000000,-137.50000000,3558.209428
-7.50000000,-82.50000000,1072010.860692
-7.50000000,-77.50000000,8656288.442412
-7.50000000,-72.50000000,891979.505660
-7.50000000,-67.50000000,557769.006065
-7.50000000,-62.50000000,892500.370032
-7.50000000,-57.50000000,274386.980350
-7.50000000,-52.50000000,413084.072436
-7.50000000,-47.50000000,2834726.323166
-7.50000000,-42.50000000,4595127.280314
-7.50000000,-37.50000000,16894367.218724
-7.50000000,-32.50000000,4593350.849925
-7.50000000,12.50000000,18418175.818213
-7.50000000,17.50000000,10529221.339627
-7.50000000,22.50000000,16494229.531973
-7.50000000,27.50000000,7992372.403032
-7.50000000,32.50000000,12391872.021618
-7.50000000,37.50000000,21804580.633531
-7.50000000,47.50000000,147.920862
-7.50000000,52.50000000,81.460517
-7.50000000,57.50000000,1.431316
-7.50000000,102.50000000,1601744.378358
-7.50000000,107.50000000,95500029.570386
-7.50000000,112.50000000,69192262.020502
-7.50000000,117.50000000,13772851.124004
-7.50000000,122.50000000,5576161.719260
-7.50000000,127.50000000,1471225.292198
-7.50000000,132.50000000,461034.426138
-7.50000000,137.50000000,244421.702592
-7.50000000,142.50000000,4354022.244422
-7.50000000,147.50000000,3581581.371501
-7.50000000,152.50000000,609757.890760
-7.50000000,157.50000000,581910.152013
-7.50000000,162.50000000,374489.521103
-7.50000000,167.50000000,344.105358
-7.50000000,177.50000000,9533.793221
-2.50000000,-92.50000000,21977.987067
-2.50000000,-87.50000000,8774.725806
-2.50000000,-82.50000000,3486978.138204
-2.50000000,-77.50000000,14200070.653020
-2.50000000,-72.50000000,787531.778738
